Date,Open,High,Low,Close,Adj Close,Volume,Close_1,Close_inc,Volume_1,Volume_inc,MA5,MA5_1,MA5_inc,EMA5,MA10,MA10_1,MA10_inc,EMA10,MA20,MA20_1,MA20_inc,EMA20,RSI12,OBV,ROC5,ROC10,ROC20,MACD,MACDsignal,MACDhist,STOCHk3,STOCHd3,CCI10,ATR14,BBM20,BBU20,BBL20,MOM10
2020-04-02,144.85266,148.30562,143.42188,148.09576,148.09576,49630700,145.09116,3.0046082,57969900.0,-8339200.0,147.84969,148.01184,-0.16216126,146.9991,143.05084,141.85376,1.197087,145.32127,142.57486,143.09996,-0.52509844,146.24448,56.544636,-195312500.0,-0.5445067,8.794035,-6.6217647,-2.4568238,-4.4437814,1.9869578,33.980507,34.27336,42.646248,10.196053,142.57486,159.13007,126.01965,11.970871
2020-04-03,147.94316,150.11797,145.16743,146.73177,146.73177,41243300,148.09576,-1.3639984,49630700.0,-8387400.0,148.63757,147.84969,0.7878906,146.90999,144.62279,143.05084,1.5719528,145.57773,142.20572,142.57486,-0.36914214,146.29095,60.892128,-236555800.0,2.7588692,11.998519,-4.7904887,-2.1483586,-3.9846966,1.8363382,46.955265,31.71797,42.976948,8.92606,142.20572,157.98875,126.42269,15.719528
2020-04-06,152.92227,158.8171,150.3087,157.64386,157.64386,67111700,146.73177,10.912094,41243300.0,25868400.0,149.59906,148.63757,0.96148074,150.48795,147.41664,144.62279,2.793843,147.77158,142.90442,142.20572,0.6986977,147.37381,65.93668,-169444100.0,3.145456,21.53991,9.72643,-1.017154,-3.391188,2.374034,92.3792,57.771656,169.53117,8.93764,142.90442,160.13153,125.67731,27.93843
2020-04-07,161.76453,162.15561,155.72662,155.94601,155.94601,62769000,157.64386,-1.6978455,67111700.0,-4342700.0,150.7017,149.59906,1.102655,152.3073,148.86172,147.41664,1.4450912,149.25784,143.027,142.90442,0.12256928,148.19131,69.449394,-232213100.0,3.6649437,10.213013,1.5970497,-0.25400814,-2.7637515,2.5097435,63.447506,67.593994,150.51468,8.609923,143.027,160.6027,125.45126,14.450912
2020-04-08,158.02542,158.97928,155.95555,157.51035,157.51035,48318200,155.94601,1.564331,62769000.0,-14450800.0,153.18555,150.7017,2.4838378,154.04166,150.5987,148.86172,1.7369705,150.7583,143.57545,143.027,0.5484673,149.07993,71.60221,-183894900.0,8.559577,12.394481,7.4855127,0.47087315,-2.1168265,2.5876997,60.7892,72.2053,108.80358,8.066906,143.57545,162.26239,124.88853,17.369705
2020-04-09,158.68361,159.64699,155.79343,157.5199,157.5199,51385100,157.51035,0.009552002,48318200.0,3066900.0,155.07037,153.18555,1.8848267,155.20107,151.46004,150.5987,0.8613327,151.98767,144.81929,143.57545,1.2438294,149.88463,65.239494,-132509800.0,6.36354,5.7843833,18.754498,1.0341496,-1.486631,2.5207808,27.893621,50.71011,87.520744,7.5763507,144.81929,163.75241,125.88616,8.613327
2020-04-13,156.76633,157.93004,154.81091,157.87279,157.87279,41905300,157.5199,0.35289,51385100.0,-9479800.0,157.29858,155.07037,2.2282043,156.09164,152.96808,151.46004,1.5080475,153.0577,145.13788,144.81929,0.31858748,150.64616,67.19066,-90604500.0,7.592781,10.561125,4.2057467,1.4916632,-0.8909721,2.3826354,63.31311,50.66531,63.00738,7.2506766,145.13788,164.74678,125.52897,15.080475
2020-04-14,161.20177,165.73259,160.24791,165.68489,165.68489,52874300,157.87279,7.8121033,41905300.0,10969000.0,158.90678,157.29858,1.6082062,159.28938,154.25293,152.96808,1.2848434,155.35356,146.96356,145.13788,1.8256829,152.07973,66.57245,-37730200.0,5.1007576,8.406655,28.267637,2.4536214,-0.2220533,2.6756747,99.56329,63.590008,133.61461,6.884124,146.96356,167.10516,126.82194,12.848434
2020-04-15,163.30025,165.5609,161.4307,163.94888,163.94888,40940800,165.68489,-1.7360077,52874300.0,-11933500.0,160.50735,158.90678,1.6005738,160.84256,155.60454,154.25293,1.3516144,156.91634,148.17065,146.96356,1.2071053,153.21104,72.875496,-78671000.0,5.1318197,8.984842,17.268194,3.0413332,0.43062407,2.6107092,83.66822,82.18154,107.92144,6.5141625,148.17065,169.37216,126.96916,13.516144
2020-04-16,166.25722,169.0997,164.92181,168.87077,168.87077,50479600,163.94888,4.9218903,40940800.0,9538800.0,162.77945,160.50735,2.2720857,163.51863,157.9825,155.60454,2.3779616,159.08987,149.91812,148.17065,1.7474648,154.70357,69.49669,-28191400.0,7.2124963,16.389433,26.096855,3.8582878,1.1161569,2.742131,97.413734,93.548416,144.48254,6.218467,149.91812,171.92064,127.91562,23.779617
2020-04-17,171.21729,171.69421,167.75479,170.35883,170.35883,52765600,168.87077,1.4880524,50479600.0,2286000.0,165.34723,162.77945,2.5677857,165.79869,160.2088,157.9825,2.2263062,161.13878,151.62982,149.91812,1.7116966,156.19554,74.78063,24574200.0,8.150671,15.032882,25.148914,4.572634,1.8074524,2.765182,86.98893,89.35696,130.42519,6.0290565,151.62982,174.42639,128.83327,22.263062
2020-04-20,168.47975,170.50192,166.91544,166.9822,166.9822,36669600,170.35883,-3.3766327,52765600.0,-16096000.0,167.16911,165.34723,1.821881,166.19319,162.23384,160.2088,2.0250428,162.20122,153.42831,151.62982,1.7984978,157.22346,78.623215,-12095400.0,5.7700925,13.800983,27.455416,4.811629,2.4082878,2.403341,30.423218,71.60863,87.4391,5.5425863,153.42831,175.0198,131.83684,20.250427
2020-04-21,165.4941,165.65625,158.4451,160.0762,160.0762,56203700,166.9822,-6.9059906,36669600.0,19534100.0,166.04738,167.16911,-1.1217377,164.15419,162.47708,162.23384,0.24323425,161.81485,154.94685,153.42831,1.5185387,157.4953,64.21458,-68299100.0,-3.3851538,1.5429351,23.41519,4.3946977,2.80557,1.5891279,12.311016,43.241055,-16.950382,5.592328,154.94685,173.58307,136.31065,2.4323425
2020-04-22,163.48149,165.97105,162.9378,165.51321,165.51321,34620200,160.0762,5.4370117,56203700.0,-21583500.0,166.36024,166.04738,0.3128662,164.60721,163.4338,162.47708,0.95672,162.48727,156.14777,154.94685,1.2009056,158.2593,70.31991,-33678900.0,0.95415777,6.1349435,16.974518,4.45051,3.134558,1.3159522,58.62333,33.785854,28.908861,5.541231,156.14777,174.22112,138.07442,9.5672
2020-04-23,166.07599,166.98215,163.02365,163.51012,163.51012,32790800,165.51321,-2.0030975,34620200.0,-1829400.0,165.28812,166.36024,-1.0721314,164.2415,164.03378,163.4338,0.59997714,162.67325,157.31624,156.14777,1.1684738,158.7596,57.862476,-66469700.0,-3.1744137,3.8091283,16.675732,4.284103,3.364467,0.919636,59.329784,43.421375,13.879493,5.4751425,157.31624,174.00053,140.63194,5.999771
2020-04-24,164.12056,166.5052,162.83286,166.49567,166.49567,34277600,163.51012,2.98555,32790800.0,1486800.0,164.51547,165.28812,-0.7726318,164.99289,164.93135,164.03378,0.8975769,163.36824,158.1957,157.31624,0.8794548,159.49666,63.667793,-32192100.0,-2.2676601,5.698181,11.812169,4.342508,3.560075,0.7824327,88.275406,68.742836,17.502249,5.383844,158.1957,174.86781,141.52357,8.975769
2020-04-27,168.44154,168.73723,165.30336,166.01875,166.01875,33194400,166.49567,-0.47691345,34277600.0,-1083200.0,164.32278,164.51547,-0.19268799,165.33485,165.74596,164.93135,0.81459653,163.85014,159.35701,158.1957,1.161322,160.11804,61.342823,-65386500.0,-0.57697165,5.1598287,16.26589,4.3007975,3.7082195,0.5925779,53.958164,67.18778,36.44347,4.7658825,159.35701,174.69374,144.0203,8.145966
2020-04-28,167.48772,167.56403,161.5738,161.97443,161.97443,34392700,166.01875,-4.044327,33194400.0,1198300.0,164.70244,164.32278,0.37964478,164.2147,165.37491,165.74596,-0.37104645,163.50911,159.81392,159.35701,0.4568985,160.2949,55.361675,-99779200.0,1.1858251,-2.2394707,5.9789205,3.8971026,3.7459962,0.15110636,5.592548,49.27537,-61.659443,4.734541,159.81392,174.8747,144.75313,-3.7104645
2020-04-29,165.22702,169.48122,163.94885,169.24275,169.24275,51286600,161.97443,7.268326,34392700.0,16893900.0,165.44835,164.70244,0.7459076,165.89072,165.9043,165.37491,0.5293869,164.55159,160.75441,159.81392,0.9405006,161.14734,61.73228,-48492600.0,2.2533174,3.2289753,12.503936,4.115153,3.8198276,0.29532546,96.98429,52.178333,52.476173,5.0540786,160.75441,175.69736,145.81148,5.293869
2020-04-30,171.69418,172.07571,168.09814,170.94064,170.94064,53875900,169.24275,1.6978912,51286600.0,2589300.0,166.93445,165.44835,1.4861053,167.57404,166.11128,165.9043,0.206987,165.71324,162.04689,160.75441,1.2924744,162.08029,56.206356,5383300.0,4.5443835,1.2257124,17.816032,4.374293,3.9307206,0.4435724,89.19171,63.92285,119.8482,5.0629363,162.04689,175.70163,148.39215,2.06987
